"rank","name","pop2021","pop2010","growth","density","aland_sqmi"
"168","Normandy Park","6538","6354","0.0290","2617","2.4980"
"169","Bangor Base","6506","6054","0.0747","586","11.1090"
"170","Prosser","6478","5782","0.1204","1395","4.6440"
"171","Otis Orchards-East Farms","6466","6220","0.0395","805","8.0310"
"172","Steilacoom","6434","5989","0.0743","3199","2.0110"
"173","Wollochet","6365","6651","-0.0430","1085","5.8680"
"174","North Fort Lewis","6355","2699","1.3546","1076","5.9040"
"175","Clarkston Heights-Vineland","6348","6326","0.0035","1054","6.0240"
"176","Union Gap","6272","6147","0.0203","1123","5.5850"
"177","Country Homes","6117","5841","0.0473","3703","1.6520"
"178","West Side Highway","6089","5517","0.1037","2406","2.5310"
"179","Finley","6021","6012","0.0015","521","11.5530"
"180","Blaine","5959","4710","0.2652","1063","5.6080"
"181","West Clarkston-Highland","5830","5261","0.1082","2090","2.7900"
"182","Sultan","5722","4661","0.2276","1752","3.2660"
"183","Woods Creek","5706","5589","0.0209","407","14.0340"
"184","Manchester","5673","5413","0.0480","1940","2.9240"
"185","Tracyton","5556","5233","0.0617","2898","1.9170"
"186","Connell","5511","4238","0.3004","717","7.6880"
"187","Black Diamond","5467","4147","0.3183","835","6.5490"
"188","East Port Orchard","5407","5919","-0.0865","3500","1.5450"
"189","Cavalero","5370","4660","0.1524","3365","1.5960"
"190","Hockinson","5355","4771","0.1224","389","13.7830"
"191","Buckley","5302","4342","0.2211","1374","3.8600"
"192","Granite Falls","5096","3397","0.5001","2325","2.1920"
"193","Town and Country","5090","4857","0.0480","4242","1.2000"
"194","Maplewood","5072","5138","-0.0128","612","8.2870"
"195","Medical Lake","5024","5061","-0.0073","1490","3.3710"
"196","Wapato","4970","5074","-0.0205","4201","1.1830"
"197","Colville","4854","4716","0.0293","1573","3.0850"
"198","Mattawa","4818","4479","0.0757","5226","0.9220"
"199","Omak","4752","4799","-0.0098","1231","3.8590"
"200","Deer Park","4630","3670","0.2616","672","6.8890"
"201","Belfair","4564","3931","0.1610","620","7.3660"
"202","Moses Lake North","4526","4418","0.0244","815","5.5560"
"203","Chain Lake","4522","3741","0.2088","429","10.5520"
"204","Rosedale","4472","4044","0.1058","985","4.5390"
"205","Suquamish","4395","4140","0.0616","643","6.8330"
"206","Wauna","4294","4186","0.0258","677","6.3440"
"207","Chelan","4255","3908","0.0888","636","6.6890"
"208","Venersborg","4227","3745","0.1287","390","10.8320"
"209","Esperance","4204","3601","0.1675","5807","0.7240"
"210","Moxee","4202","3507","0.1982","1774","2.3680"
"211","Prairie Heights","4187","4405","-0.0495","1120","3.7400"
"212","Montesano","4124","3987","0.0344","397","10.3810"
"213","Peaceful Valley","4123","3324","0.2404","243","16.9590"
"214","Marietta-Alderwood","4086","3906","0.0461","695","5.8790"
"215","Longbranch","3974","3784","0.0502","199","20.0030"
"216","Bunk Foss","3939","3570","0.1034","1017","3.8750"
"217","Granger","3934","3275","0.2012","2273","1.7310"
"218","Fox Island","3918","3633","0.0784","754","5.1940"
"219","Forks","3908","3553","0.0999","950","4.1130"
"221","Larch Way","3851","3318","0.1606","3460","1.1130"
"220","Bethel","3851","3713","0.0372","1218","3.1610"
"222","Key Center","3806","3692","0.0309","260","14.6180"
"223","Longview Heights","3803","3851","-0.0125","906","4.1990"
"224","Mirrormont","3780","3659","0.0331","364","10.3820"
"225","Lake Goodwin","3775","0","","944","4.0010"
"226","Boulevard Park","3717","5287","-0.2970","3134","1.1860"
"227","Sunnyslope","3704","3252","0.1390","464","7.9900"
"228","La Center","3680","2950","0.2475","1493","2.4650"
"229","Maple Heights-Lake Desire","3641","3152","0.1551","893","4.0770"
"230","Clearview","3630","3324","0.0921","782","4.6400"
"231","Benton City","3617","3055","0.1840","1464","2.4700"
"232","Lake Cassidy","3602","3415","0.0548","340","10.5850"
"233","Indianola","3524","3500","0.0069","671","5.2550"
"234","Goldendale","3523","3407","0.0340","1190","2.9600"
"235","Three Lakes","3480","3184","0.0930","298","11.6690"
"236","Canyon Creek","3433","3200","0.0728","562","6.1050"
"237","Elma","3421","3303","0.0357","1342","2.5500"
"238","Hansville","3413","3091","0.1042","322","10.5950"
"239","Clyde Hill","3412","2997","0.1385","3234","1.0550"
"240","McChord AFB","3381","2507","0.3486","568","5.9540"
"241","Grand Mound","3373","2981","0.1315","859","3.9270"
"242","North Yelm","3365","2906","0.1579","1009","3.3350"
"243","Burbank","3358","3291","0.0204","255","13.1840"
"244","Ahtanum","3356","3601","-0.0680","485","6.9220"
"245","Fairchild AFB","3336","2776","0.2017","504","6.6240"
"246","Lake Holm","3331","3221","0.0342","398","8.3590"
"247","Medina","3296","2980","0.1060","2297","1.4350"
"248","Port Angeles East","3231","3036","0.0642","856","3.7730"
"249","Cashmere","3228","3120","0.0346","2773","1.1640"
"250","Port Hadlock-Irondale","3219","3580","-0.1008","482","6.6850"
"251","Canterwood","3218","3079","0.0451","1493","2.1560"
"252","Central Park","3205","2685","0.1937","911","3.5180"
"253","Algona","3188","3038","0.0494","2467","1.2920"
"254","Meadowdale","3151","2826","0.1150","2964","1.0630"
"255","High Bridge","3148","2994","0.0514","451","6.9740"
"256","Zillah","3136","3034","0.0336","1726","1.8170"
"257","Rochester","3126","2388","0.3090","1342","2.3300"
"258","Erlands Point-Kitsap Lake","3116","2935","0.0617","1779","1.7520"
"259","Navy Yard City","3064","2477","0.2370","4974","0.6160"
"260","Raymond","3062","2863","0.0695","749","4.0890"
"261","Eatonville","3032","2753","0.1013","1660","1.8260"
"262","Fobes Hill","2984","2418","0.2341","641","4.6540"
"263","Everson","2979","2469","0.2066","2279","1.3070"
"264","Kalama","2978","2358","0.2629","834","3.5700"
"265","Lochsloy","2973","2533","0.1737","398","7.4640"
"266","Warden","2906","2701","0.0759","990","2.9360"
"267","Alderton","2890","2893","-0.0010","544","5.3130"
"268","Meadow Glade","2859","2541","0.1251","786","3.6380"
"269","Chico","2846","2259","0.2598","1242","2.2910"
"270","Carson","2830","2279","0.2418","591","4.7910"
"271","Port Ludlow","2828","2603","0.0864","245","11.5300"
"272","White Salmon","2817","2348","0.1997","1873","1.5040"
"273","Gleed","2808","2906","-0.0337","519","5.4060"
"274","Colfax","2804","2793","0.0039","742","3.7790"
"275","Sisco Heights","2754","2696","0.0215","221","12.4820"
